algorithm,support_quant_int,quant_mult,exec_time,cpu_mem_mb,gpu_mem_bytes,patterns_found,support_float
cuFFIMiner,40000,10,14.271209955215454,10024.27734375,21247361024,13740,
naiveFFIMiner,40000,10,16.021082878112793,10024.27734375,21247361024,13740,4000.0
cuFFIMiner,45000,10,11.585500240325928,10024.27734375,21039742976,11616,
naiveFFIMiner,45000,10,13.109887599945068,10024.27734375,21039742976,11616,4500.0
cuFFIMiner,50000,10,9.705835103988647,10024.27734375,20865679360,9986,
naiveFFIMiner,50000,10,11.095429420471191,10024.27734375,20865679360,9986,5000.0
cuFFIMiner,55000,10,8.181004762649536,10024.27734375,20700004352,8654,
naiveFFIMiner,55000,10,9.499484300613403,10024.27734375,20700004352,8654,5500.0
cuFFIMiner,60000,10,7.037874698638916,10024.27734375,20538523648,7576,
naiveFFIMiner,60000,10,8.270472764968872,10024.27734375,20538523648,7576,6000.0
